Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,Own,FC Proj,My Proj,Exp.,Used,Con.,Value
Cedi Osman,,,SG/SF,CLE,@ WAS,7th,109.75,3100,0,34.8,20.0,2.6,0.83,29.81,10.55,10.88,4.84,20.2,9.5,24.1,16.50,6.8%,13.06,13.06,100,,46,4.2
Bryn Forbes,,,PG/SG,MIL,@ ATL,18th,116.25,3700,0,26.5,13.7,0.6,0.71,25.79,12.13,7.83,5.05,18.4,7.4,19.2,15.00,0.1%,10.86,10.86,100,,43,2.9
Robin Lopez,,,C,WAS,vs CLE,1st,116.75,3600,0.5,27.7,16.1,0.8,0.81,29.28,9.95,7.78,4.01,15.8,5.8,19.8,14.50,2%,12.16,12.16,100,,52,3.4
Alex Len,,,C,WAS,vs CLE,1st,116.75,3300,1.2,34.5,14.8,0.8,0.96,34.62,14.18,9.51,5.51,16.9,4.3,15.4,14.00,5.6%,15.50,15.50,100,,36,4.7
Chasson Randle,,,PG,ORL,vs IND,25th,110.25,3300,0,22.7,11.6,1.9,0.59,21.38,10.33,7.59,3.52,15.1,5.0,19.6,12.25,0.2%,7.50,7.50,100,,35,2.3
Onyeka Okongwu,,,C,ATL,vs MIL,26th,110.25,3800,0,25,10.0,0.2,0.90,32.32,12.20,7.25,3.64,13.5,2.6,11.1,10.75,0.1%,10.48,10.48,100,,28,2.8
Hassan Whiteside,,,C,SAC,@ GSW,22nd,112.50,5400,0,36.6,19.1,0.6,1.25,45.10,17.58,10.87,5.13,23.1,6.2,15.3,10.50,0.4%,14.90,14.90,100,,43,2.8
Devin Cannady,,,PG,ORL,vs IND,29th,110.25,3400,0,25,8.0,0.1,0.77,27.49,26.19,7.94,7.64,23.9,4.0,10.4,10.50,0.1%,9.09,9.09,100,,1,2.7
Jeff Teague,,,PG,MIL,@ ATL,18th,116.25,3000,0,27.6,14.0,2.4,0.79,28.18,12.06,8.90,3.52,16.4,5.3,17.8,10.50,0.1%,9.80,9.80,100,,36,3.3
Chandler Hutchison,,,SF/PF,WAS,vs CLE,3rd,116.75,3000,0,22.9,10.0,0.7,0.70,25.48,11.72,7.20,3.09,16.8,4.2,14.2,9.50,0.4%,8.54,8.54,100,,28,2.8
Aaron Holiday,,,PG/SG,IND,@ ORL,22nd,115.25,3500,0,24.4,12.8,1.6,0.74,26.68,13.30,8.40,3.42,20.0,6.6,17.2,9.25,0.1%,7.57,7.57,100,,34,2.2
Isaac Bonga,,,SF,WAS,vs CLE,2nd,116.75,3000,0,17.7,6.5,0.6,0.55,19.63,13.52,5.78,3.29,10.9,2.2,11.9,8.75,0.2%,6.18,6.18,100,,11,2.1
Kyle Guy,,,PG/SG,SAC,@ GSW,20th,112.50,3000,0,24,6.2,0.9,0.86,31.03,20.18,8.07,4.9,20.2,2.8,7.2,8.75,0.1%,7.88,7.88,100,,0,2.6
Chimezie Metu,,,PF/C,SAC,@ GSW,20th,112.50,3400,0,22.5,10.9,0.7,1.07,38.29,17.24,6.57,3.71,21.8,3.8,10.2,7.75,0.1%,9.31,9.31,100,,40,2.7
Lamar Stevens,,,SF,CLE,@ WAS,7th,109.75,3000,0,20.9,9.6,0.6,0.76,27.38,16.45,7.37,3.43,16.9,3.5,12.6,7.50,0.1%,6.19,6.19,100,,23,2.1
Garrison Mathews,,,SG/SF,WAS,vs CLE,3rd,116.75,3400,0,20.5,10.2,0.5,0.58,20.97,11.46,7.96,2.23,11.4,3.9,17.5,7.00,0.1%,4.59,4.59,100,,22,1.4
Robert Franks,,,PF,ORL,vs IND,24th,110.25,3000,0,12.5,9.3,0.6,0.70,25.23,20.30,3.63,3.81,19.2,3.0,13.2,6.75,0.1%,5.22,5.22,100,,61,1.7
Damyean Dotson,,,SG/SF,CLE,@ WAS,7th,109.75,3000,0,22.4,13.3,2.1,0.71,25.37,10.54,8.84,1.9,17.4,6.3,18.8,6.50,0.1%,4.69,4.69,100,,34,1.6
Justin James,,,SF,SAC,@ GSW,19th,112.50,3000,0,11.1,3.5,0.6,0.59,20.98,21.64,3.22,3.61,15.4,1.6,5.9,6.00,0.1%,4.70,4.70,100,,8,1.6
Donta Hall,,,PF/C,ORL,vs IND,24th,110.25,3200,0,21.6,16.1,1.5,1.15,41.30,15.56,8.66,1.95,15.0,2.0,14.0,4.50,0.1%,4.30,4.30,100,,46,1.3
Gary Payton II,,,PG,GSW,vs SAC,4th,119.50,3000,0,20.7,8.4,0.0,1.75,63.47,24.99,9.10,1.74,27.3,2.0,4.8,2.50,0.1%,2.46,2.46,100,,0,0.8
Nathan Knight,,,C,ATL,vs MIL,26th,110.25,3100,0,17.3,7.3,0.2,0.87,31.46,32.70,8.20,0.91,21.5,2.9,8.4,1.00,0.1%,0.90,0.90,100,,0,0.3
Brodric Thomas,,,SG,CLE,@ WAS,8th,109.75,3000,0,12.8,6.1,0.7,0.71,25.40,18.50,6.00,0.51,24.3,2.6,8.6,1.00,0.1%,0.76,0.76,100,,2,0.3
Chris Silva,,,C,SAC,@ GSW,25th,112.50,3000,0,14.3,6.5,0.5,0.92,32.97,15.96,6.74,0.33,19.5,1.2,7.1,0.75,0%,0.81,0.81,100,,0,0.3
Jordan Bell,,,PF/C,WAS,vs CLE,2nd,116.75,3000,0,19.9,11.2,1.0,0.84,29.96,20.32,9.70,0.28,19.4,4.0,13.4,0.50,0.1%,0.47,0.47,100,,13,0.2
Cassius Winston,,,PG,WAS,vs CLE,2nd,116.75,3000,0,9.5,4.2,0.6,0.82,29.84,24.15,4.56,0.34,18.7,1.7,5.1,0.50,0.1%,0.42,0.42,100,,0,0.1
Mfiondu Kabengele,,,PF/C,CLE,@ WAS,9th,109.75,3000,0,6.9,3.0,0.2,0.68,24.13,25.04,3.22,0.35,15.7,1.4,4.4,0.50,0.1%,0.42,0.42,100,,0,0.1
Thanasis Antetokounmpo,,,PF,MIL,@ ATL,15th,116.25,3000,0,18,8.9,0.9,0.83,30.01,17.53,8.78,0.24,14.5,2.7,10.7,0.50,0.1%,0.46,0.46,100,,1,0.2
Jordan Nwora,,,PF,MIL,@ ATL,15th,116.25,3000,0,22.7,9.8,0.3,1.09,38.87,23.94,11.10,0.33,22.5,4.3,9.0,0.50,0.1%,0.54,0.54,100,,0,0.2
De'Aaron Fox,,,PG,SAC,@ GSW,20th,112.50,10000,0,26.2,44.0,7.2,1.25,45.08,9.86,13.10,0,31.0,19.1,35.1,0.00,0%,0.00,0.00,100,,70,0
Trae Young,,,PG,ATL,vs MIL,26th,110.25,9600,0,23.2,46.4,9.6,1.36,48.81,11.62,11.60,0,32.6,17.8,34.2,0.00,0%,0.00,0.00,100,,75,0
Domantas Sabonis,,,PF/C,IND,@ ORL,23rd,115.25,9300,0,22.1,46.9,6.0,1.31,47.32,9.16,11.06,0,24.3,14.4,35.7,0.00,4%,0.00,0.00,100,,76,0
Collin Sexton,,,PG/SG,CLE,@ WAS,7th,109.75,7800,0,19.2,36.5,4.1,1.03,36.86,7.94,9.59,0,29.2,18.4,35.6,0.00,0%,0.00,0.00,100,,74,0
Myles Turner,,,C,IND,@ ORL,23rd,115.25,6300,0,19.9,31.0,1.0,1.00,36.07,9.30,9.94,0,16.5,9.2,31.0,0.00,0%,0.00,0.00,100,,68,0
Terrence Ross,,,SG/SF,ORL,vs IND,29th,110.25,6000,0,21,26.6,2.4,0.91,32.74,11.16,10.52,0,23.8,13.4,29.2,0.00,6.2%,0.00,0.00,100,,60,0
Rui Hachimura,,,PF,WAS,vs CLE,2nd,116.75,5600,0,18.4,24.5,1.5,0.78,27.93,7.89,9.21,0,18.1,11.2,31.6,0.00,0%,0.00,0.00,100,,62,0
De'Andre Hunter,,,SF,ATL,vs MIL,30th,110.25,5200,0,20.6,28.5,2.1,0.91,32.83,7.67,10.32,0,19.4,11.3,31.3,0.00,0%,0.00,0.00,100,,64,0
Michael Carter-Williams,,,PG,ORL,vs IND,29th,110.25,5200,0,18.7,22.5,4.1,0.87,31.39,10.52,9.36,0,20.3,8.7,25.8,0.00,0%,0.00,0.00,100,,58,0
Otto Porter,,,SF/PF,ORL,vs IND,29th,110.25,5000,0,21.9,21.2,2.0,0.98,35.32,11.51,10.97,0,18.4,8.1,21.6,0.00,0%,0.00,0.00,100,,48,0
James Ennis,,,SF,ORL,vs IND,29th,110.25,4800,0,16.5,18.1,1.5,0.75,26.91,10.25,8.25,0,14.0,6.1,24.2,0.00,6.4%,0.00,0.00,100,,54,0
Marvin Bagley III,,,PF/C,SAC,@ GSW,20th,112.50,4600,0,17.9,26.7,0.9,1.04,37.44,9.58,8.95,0,23.0,11.2,25.7,0.00,0%,0.00,0.00,100,,66,0
Taurean Prince,,,SF,CLE,@ WAS,7th,109.75,4400,0,19.2,19.3,1.9,0.88,31.50,10.14,9.58,0,19.9,8.0,22.0,0.00,0%,0.00,0.00,100,,50,0
Cam Reddish,,,SG,ATL,vs MIL,30th,110.25,4400,0,17,21.4,1.3,0.74,26.76,9.64,8.50,0,18.9,10.1,28.8,0.00,0%,0.00,0.00,100,,60,0
James Wiseman,,,C,GSW,vs SAC,7th,119.50,4300,0,14.9,21.6,0.7,1.01,36.29,11.50,7.46,0,24.7,9.5,21.4,0.00,0%,0.00,0.00,100,,65,0
Kent Bazemore,,,SF,GSW,vs SAC,8th,119.50,4000,0,19.4,15.8,1.6,0.87,31.32,11.46,9.68,0,16.6,5.4,18.1,0.00,0%,0.00,0.00,100,,39,0
Kelan Martin,,,SF/PF,IND,@ ORL,21st,115.25,3700,0,8.9,4.7,0.3,0.85,31.20,28.91,4.46,0,18.2,2.1,5.5,0.00,0.1%,0.00,0.00,100,,5,0
Damian Jones,,,C,SAC,@ GSW,22nd,112.50,3500,0,11.9,7.6,0.3,0.75,27.00,16.54,5.94,0,12.2,1.6,10.2,0.00,0.1%,0.00,0.00,100,,22,0
Damion Lee,,,SG/SF,GSW,vs SAC,4th,119.50,3200,0,13.4,14.4,1.3,0.76,27.41,11.10,6.71,0,12.8,4.8,19.0,0.00,0%,0.00,0.00,100,,53,0
Deni Avdija,,,SF/PF,WAS,vs CLE,2nd,116.75,3000,0,17.6,16.1,1.2,0.69,24.87,9.40,8.79,0,11.6,5.8,23.3,0.00,0%,0.00,0.00,100,,45,0
Thomas Bryant,,,C,WAS,vs CLE,2nd,116.75,3000,0,24.3,26.6,1.5,0.98,35.24,15.33,12.16,0,15.7,9.1,27.2,0.00,0%,0.00,0.00,100,,54,0
Dylan Windler,,,SF,CLE,@ WAS,8th,109.75,3000,0,16.1,13.1,1.1,0.79,28.29,11.95,8.06,0,15.4,4.2,16.6,0.00,0%,0.00,0.00,100,,38,0
Sam Merrill,,,PG/SG,MIL,@ ATL,21st,116.25,3000,0,15.1,6.1,0.7,0.82,29.80,30.43,7.54,0,14.8,2.3,7.4,0.00,0.1%,0.00,0.00,100,,0,0
Mamadi Diakite,,,C,MIL,@ ATL,15th,116.25,3000,0,14.4,7.6,0.5,0.92,32.67,16.32,7.18,0,14.3,2.4,8.3,0.00,0%,0.00,0.00,100,,6,0
Tony Snell,,,SG/SF,ATL,vs MIL,30th,110.25,3000,0,14.8,11.8,1.3,0.56,20.14,10.38,7.39,0,9.2,3.7,21.0,0.00,0%,0.00,0.00,100,,37,0
Rodions Kurucs,,,SF/PF,MIL,@ ATL,21st,116.25,3000,0,9,4.6,0.5,0.78,28.23,21.99,4.50,0,19.2,1.5,5.9,0.00,0%,0.00,0.00,100,,2,0
Kris Dunn,,,SG,ATL,vs MIL,26th,110.25,3000,0,0,,,,,,,0,,,,0.00,0%,0.00,0.00,100,,0,0
Justin Jackson,,,PF,MIL,@ ATL,15th,116.25,3000,0,15.6,13.2,1.5,0.80,28.90,15.60,7.78,0,22.6,6.4,16.5,0.00,0%,0.00,0.00,100,,41,0
Axel Toupane,,,SG,MIL,@ ATL,21st,116.25,3000,0,12,4.8,0.5,0.63,22.43,19.64,5.99,0,9.3,1.4,7.6,0.00,0%,0.00,0.00,100,,0,0
Skylar Mays,,,PG/SG,ATL,vs MIL,30th,110.25,3000,0,13.5,7.1,0.8,0.89,31.95,20.41,6.77,0,18.5,2.8,8.0,0.00,0.1%,0.00,0.00,100,,5,0
Bruno Fernando,,,C,ATL,vs MIL,26th,110.25,3000,0,10.9,4.8,0.3,0.72,25.96,19.90,5.47,0,13.3,1.0,6.7,0.00,0.1%,0.00,0.00,100,,0,0
Jonathan Isaac,,,PF,ORL,vs IND,29th,110.25,3000,0,0,,,,,,,0,,,,0.00,0%,0.00,0.00,100,,0,0
Markelle Fultz,,,PG,ORL,vs IND,29th,110.25,3000,0,19.7,26.4,5.4,0.98,35.37,6.74,9.85,0,26.9,13.0,26.9,0.00,0%,0.00,0.00,100,,63,0
Brian Bowen II,,,SF,IND,@ ORL,21st,115.25,3000,0,3,1.1,0.0,0.44,16.20,11.36,1.51,0,8.1,0.7,2.5,0.00,0%,0.00,0.00,100,,0,0
Cassius Stanley,,,SG,IND,@ ORL,22nd,115.25,3000,0,2.8,2.2,0.0,0.85,29.79,29.23,1.40,0,28.3,1.4,2.6,0.00,0.1%,0.00,0.00,100,,36,0
T.J. Warren,,,PF,IND,@ ORL,21st,115.25,3000,0,19.7,22.3,1.3,0.76,27.38,12.42,9.85,0,21.6,12.8,29.3,0.00,0%,0.00,0.00,100,,56,0
Robert Woodard II,,,SG/SF,SAC,@ GSW,26th,112.50,3000,0,5.8,3.3,0.0,1.27,44.38,33.09,2.90,0,24.9,1.3,2.6,0.00,0%,0.00,0.00,100,,12,0
Jahmi'us Ramsey,,,PG/SG,SAC,@ GSW,19th,112.50,3000,0,4.4,3.1,0.2,0.91,32.82,23.97,2.21,0,18.4,1.0,3.4,0.00,0%,0.00,0.00,100,,29,0
Klay Thompson,,,SF,GSW,vs SAC,4th,119.50,3000,0,0,,,,,,,0,,,,0.00,0%,0.00,0.00,100,,0,0
Alen Smailagic,,,PF/C,GSW,vs SAC,7th,119.50,3000,0,9.2,4.5,0.3,0.98,34.78,27.54,4.60,0,13.1,1.6,4.6,0.00,0.1%,0.00,0.00,100,,0,0
Nico Mannion,,,PG,GSW,vs SAC,8th,119.50,3000,0,16.7,10.9,2.3,0.86,30.82,16.77,8.37,0,18.7,4.1,12.7,0.00,0.1%,0.00,0.00,100,,23,0
Eric Paschall,,,PF/C,GSW,vs SAC,7th,119.50,3000,0,14.6,16.1,1.3,0.93,33.27,12.22,7.28,0,23.9,7.5,17.4,0.00,0%,0.00,0.00,100,,55,0